NArea_RainMedium,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
0.02976190476190476,1991,91-083,1991-04-12,3,4,0,0,3,0.10674157
0.015873015873015872,1991,91-083,1991-04-19,4,5,0,0,3,0.10674157
0.015873015873015872,1991,91-083,1991-04-26,5,6,0,0,3,0.10674157
0.015873015873015872,1991,91-083,1991-05-03,6,7,0,0,3,0.10674157
0.015873015873015872,1991,91-083,1991-05-10,7,8,0,0,3,0.10674157
0.015873015873015872,1991,91-083,1991-05-17,8,9,0,0,3,0.10674157
0.015873015873015872,1991,91-083,1991-05-21,9,10,0,0,3,0.10674157
0.10912698412698413,1990,90-146,1990-03-31,1,2,0,0,3,0.268795043
0.14087301587301587,1990,90-146,1990-04-07,2,3,0,0,3,0.268795043
0.125,1990,90-146,1990-04-14,3,4,0,0,3,0.268795043
0.1111111111111111,1990,90-146,1990-04-21,4,5,0,0,3,0.268795043
0.1111111111111111,1990,90-146,1990-04-28,5,6,0,0,3,0.268795043
0.12698412698412698,1990,90-146,1990-05-05,6,7,0,0,3,0.268795043
0.12698412698412698,1990,90-146,1990-05-12,7,8,0,0,3,0.268795043
0.12698412698412698,1990,90-146,1990-05-19,8,9,0,0,3,0.268795043
0.12698412698412698,1990,90-146,1990-05-23,9,10,0,0,3,0.268795043
0.09325396825396826,1990,90-035,1990-03-25,1,2,0,0,3,0.216271877
0.10912698412698413,1990,90-035,1990-04-01,2,3,0,0,3,0.216271877
0.14087301587301587,1990,90-035,1990-04-08,3,4,0,0,3,0.216271877
0.125,1990,90-035,1990-04-15,4,5,0,1,3,0.216271877
0.1111111111111111,1990,90-035,1990-04-22,5,6,1,0,3,0.216271877
0.1111111111111111,1990,90-035,1990-04-29,6,7,1,0,3,0.216271877
0.12698412698412698,1990,90-035,1990-05-06,7,8,1,0,3,0.216271877
0.12698412698412698,1990,90-035,1990-05-13,8,9,1,0,3,0.216271877
0.12698412698412698,1990,90-035,1990-05-17,9,10,1,1,3,0.216271877
0.07936507936507936,1993,93-491,1993-04-30,1,2,0,0,4,0.447606713
0.06349206349206349,1993,93-491,1993-05-07,2,3,0,0,4,0.447606713
0.047619047619047616,1993,93-491,1993-05-14,3,4,0,0,4,0.447606713
0.015873015873015872,1993,93-491,1993-05-21,4,5,0,0,4,0.447606713
0.015873015873015872,1993,93-491,1993-05-28,5,6,0,0,4,0.447606713
0.015873015873015872,1993,93-491,1993-06-04,6,7,0,0,4,0.447606713
0.015873015873015872,1993,93-491,1993-06-11,7,8,0,0,4,0.447606713
0.015873015873015872,1993,93-491,1993-06-18,8,9,0,0,4,0.447606713
0.015873015873015872,1993,93-491,1993-06-22,9,10,0,0,4,0.447606713
0.02976190476190476,1991,91-339,1991-04-06,1,2,0,0,8,0.165418223
0.02976190476190476,1991,91-339,1991-04-13,2,3,0,0,8,0.165418223
0.015873015873015872,1991,91-339,1991-04-20,3,4,0,0,8,0.165418223
0.015873015873015872,1991,91-339,1991-04-27,4,5,0,0,8,0.165418223
0.015873015873015872,1991,91-339,1991-05-04,5,6,0,0,8,0.165418223
0.015873015873015872,1991,91-339,1991-05-11,6,7,0,0,8,0.165418223
0.015873015873015872,1991,91-339,1991-05-18,7,8,0,0,8,0.165418223
0.015873015873015872,1991,91-339,1991-05-25,8,9,0,0,8,0.165418223
0,1991,91-339,1991-05-29,9,10,0,0,8,0.165418223
0.07936507936507936,1993,93-543,1993-05-03,1,2,0,0,3,0.534928858
0.06349206349206349,1993,93-543,1993-05-10,2,3,0,0,3,0.534928858
0.047619047619047616,1993,93-543,1993-05-17,3,4,0,1,3,0.534928858
0.047619047619047616,1993,93-543,1993-05-19,4,5,1,1,3,0.534928858
0.015873015873015872,1991,91-461,1991-05-16,1,2,0,0,6,0.552434444
0.015873015873015872,1991,91-461,1991-05-23,2,3,0,1,6,0.552434444
0,1991,91-461,1991-05-30,3,4,1,0,6,0.552434444
0,1991,91-461,1991-05-31,4,5,1,1,6,0.552434444
0.02976190476190476,1991,91-046,1991-04-12,1,2,0,0,2,0.348938823
0.015873015873015872,1991,91-046,1991-04-19,2,3,0,0,2,0.348938823
0.015873015873015872,1991,91-046,1991-04-26,3,4,0,0,2,0.348938823
0.015873015873015872,1991,91-046,1991-05-03,4,5,0,0,2,0.348938823
0.015873015873015872,1991,91-046,1991-05-10,5,6,0,0,2,0.348938823
0.015873015873015872,1991,91-046,1991-05-17,6,7,0,0,2,0.348938823
